StockCode,Description,QuantitySold,Revenue,UniqueCustomers,Recommendation
23112,PARISIENNE CURIO CABINET,471,3437.3,134,Launch Loyalty Program
23113,PANTRY CHOPPING BOARD,1138,5695.86,39,Increase Inventory
23114,VINTAGE LEAF CHOPPING BOARD  ,144,684.0000000000001,40,Maintain Current Strategy
23115,RED APPLES CHOPPING BOARD   ,144,684.0,38,Maintain Current Strategy
23116,VEGETABLE GARDEN CHOPPING BOARD,70,317.70000000000005,17,Run Promotional Campaign
23117,POPPY FIELDS CHOPPING BOARD,85,420.75,39,Run Promotional Campaign
23118,PARISIENNE JEWELLERY DRAWER ,765,5399.02,154,Increase Inventory
23119,PACK OF 6 LARGE FRUIT STRAWS ,2155,1275.71,97,Increase Inventory
23120,PACK OF 6 SMALL FRUIT STRAWS,1617,644.58,69,Increase Inventory
23121,PACK OF 6 COCKTAIL PARASOL STRAWS,2460,958.3199999999999,81,Increase Inventory
23122,PARTY CHARMS 50 PIECES,2091,1552.6499999999999,89,Increase Inventory
23123,COCKTAIL SWORDS 50 PIECES,899,705.25,64,Increase Inventory
23124,18PC WOODEN CUTLERY SET DISPOSABLE,503,595.15,23,Increase Inventory
23125,6PC WOOD PLATE SET DISPOSABLE,405,443.25,15,Maintain Current Strategy
23126,DOLLCRAFT GIRL AMELIE,36,178.2,8,Run Promotional Campaign
23126,DOLLCRAFT GIRL AMELIE KIT,66,294.7,8,Run Promotional Campaign
23126,FELTCRAFT GIRL AMELIE KIT,982,4799.38,187,Increase Inventory
23127,DOLLCRAFT GIRL NICOLE,68,336.6,12,Run Promotional Campaign
23127,FELTCRAFT GIRL NICOLE KIT,645,3169.79,137,Increase Inventory
23128,DOLLCRAFT BOY JEAN-PAUL ,82,373.9,12,Run Promotional Campaign
23128,FELTCRAFT BOY JEAN-PAUL KIT,349,1711.23,103,Launch Loyalty Program
23129,HEART SHAPED HOLLY WREATH,942,3933.1800000000003,138,Increase Inventory
23130,MISELTOE HEART WREATH ,80,312.8,5,Run Promotional Campaign
23130,MISTLETOE HEART WREATH GREEN,838,3435.6200000000003,135,Increase Inventory
23131,MISELTOE HEART WREATH CREAM,240,996.0000000000001,1,Maintain Current Strategy
23131,MISELTOE HEART WREATH WHITE,78,304.5,4,Run Promotional Campaign
23131,MISTLETOE HEART WREATH CREAM,575,2332.13,86,Increase Inventory
23132,SMALL IVORY HEART WALL ORGANISER,1008,4989.08,115,Increase Inventory
23133,LARGE IVORY HEART WALL ORGANISER,759,5142.91,94,Increase Inventory
23134,LARGE ZINC HEART WALL ORGANISER,1064,6414.48,29,Increase Inventory
23135,SMALL ZINC HEART WALL ORGANISER,1538,5378.8,31,Increase Inventory
23136,IVORY WIRE SWEETHEART LETTER TRAY,127,467.05,39,Maintain Current Strategy
23137,ZINC WIRE SWEETHEART LETTER TRAY,80,253.24,18,Run Promotional Campaign
23138,SINGLE WIRE HOOK IVORY HEART,870,1201.8999999999999,60,Increase Inventory
23139,SINGLE WIRE HOOK PINK HEART,406,502.38,20,Maintain Current Strategy
23140,TRIPLE WIRE HOOK IVORY HEART,160,658.5400000000001,29,Maintain Current Strategy
23141,TRIPLE WIRE HOOK PINK HEART,68,215.00000000000003,18,Run Promotional Campaign
23142,IVORY WIRE KITCHEN ORGANISER,116,1137.65,34,Maintain Current Strategy
23143,ZINC WIRE KITCHEN ORGANISER,25,156.8,12,Run Promotional Campaign
23144,ZINC T-LIGHT HOLDER STARS SMALL,4894,3879.9799999999996,180,Increase Inventory
23145,ZINC T-LIGHT HOLDER STAR LARGE,2030,1896.5399999999997,126,Increase Inventory
23145,ZINC T-LIGHT HOLDER STARS LARGE,24,22.799999999999997,2,Run Promotional Campaign
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,778,2526.02,151,Increase Inventory
23147,SINGLE ANTIQUE ROSE HOOK IVORY,1843,2669.95,170,Increase Inventory
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,2065,1711.55,142,Increase Inventory
23148,MINITURE ANTIQUE ROSE HOOK IVORY,48,40.8,4,Run Promotional Campaign
23149,ANTIQUE IVORY WIRE BOWL SMALL,97,241.53000000000003,17,Run Promotional Campaign
23150,IVORY SWEETHEART SOAP DISH,139,346.11,33,Maintain Current Strategy
23151,ZINC SWEETHEART SOAP DISH,59,104.41000000000001,18,Run Promotional Campaign
23152,IVORY SWEETHEART WIRE LETTER RACK ,541,1998.51,108,Increase Inventory
23153,ZINC SWEETHEART WIRE LETTER RACK,248,923.63,67,Maintain Current Strategy
23154,SET OF 4 JAM JAR MAGNETS,2441,4922.01,141,Increase Inventory
23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,2094,1669.3799999999999,84,Increase Inventory
23156,SET OF 5 MINI GROCERY MAGNETS,1631,3297.2200000000003,117,Increase Inventory
23157,SET OF 6 NATIVITY MAGNETS ,2530,5031.55,111,Increase Inventory
23158,SET OF 5 LUCKY CAT MAGNETS ,2536,5117.32,96,Increase Inventory
23159,SET OF 5 PANCAKE DAY MAGNETS,2255,4562.7300000000005,121,Increase Inventory
23160,REGENCY TEA SPOON,1392,1651.8,50,Increase Inventory
23161,REGENCY CAKE FORK,1608,1896.6000000000001,58,Increase Inventory
23162,REGENCY TEA STRAINER,1362,4789.24,96,Increase Inventory
23163,REGENCY SUGAR TONGS,1714,3949.7000000000003,95,Increase Inventory
23164,REGENCY CAKE SLICE,564,2579.21,70,Increase Inventory
23165,LARGE CERAMIC TOP STORAGE JAR,2950,4617.9,167,Increase Inventory
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,138,Increase Inventory
23167,SMALL CERAMIC TOP STORAGE JAR ,5666,4184.179999999999,129,Increase Inventory
23168,CLASSIC CAFE SUGAR DISPENSER,2633,3037.1,132,Increase Inventory
23168,CLASSIC SUGAR DISPENSER,216,247.32,12,Maintain Current Strategy
23169,CLASSIC GLASS COOKIE JAR,1332,5350.200000000001,191,Increase Inventory
23169,CLASSIC GLASS SWEET JAR,119,479.45000000000005,14,Maintain Current Strategy
23170,REGENCY TEA PLATE ROSES ,6563,10170.99,224,Increase Inventory
23171,REGENCY TEA PLATE GREEN ,5966,9184.9,195,Increase Inventory
23172,REGENCY TEA PLATE PINK,3688,5793.28,160,Increase Inventory
23173,REGENCY TEAPOT ROSES ,2662,23033.52,248,Increase Inventory
23174,REGENCY SUGAR BOWL GREEN,2954,11567.24,190,Increase Inventory
23175,REGENCY MILK JUG PINK ,3062,8995.0,206,Increase Inventory
23176,ABC TREASURE BOOK BOX ,2088,4373.26,159,Increase Inventory
23177,TREASURE ISLAND BOOK BOX,2428,5029.8,174,Increase Inventory
23178,JAM CLOCK MAGNET,309,838.47,50,Maintain Current Strategy
23179,CLOCK MAGNET MUM'S KITCHEN,304,837.88,36,Maintain Current Strategy
23180,MUM'S KITCHEN CLOCK,104,471.90000000000003,29,Maintain Current Strategy
23181,BULL DOG BOTTLE TOP WALL CLOCK,185,1484.25,60,Maintain Current Strategy
23182,TOILET SIGN OCCUPIED OR VACANT,3378,2807.6899999999996,140,Increase Inventory
23183,MOTHER'S KITCHEN SPOON REST ,178,690.71,45,Maintain Current Strategy
23184,BULL DOG BOTTLE OPENER,778,3749.5,129,Increase Inventory
23185,FRENCH STYLE STORAGE JAR JAM,317,114.85,27,Maintain Current Strategy
23186,FRENCH STYLE STORAGE JAR CAFE ,1982,819.4599999999999,57,Increase Inventory
23187,FRENCH STYLE STORAGE JAR BONBONS,2338,695.06,66,Increase Inventory
23188,VINTAGE  2 METER FOLDING RULER,1775,2902.47,131,Increase Inventory
23188,VINTAGE  2 METRE FOLDING RULER,1321,2197.6899999999996,102,Increase Inventory
23189,SET OF 12 FORK CANDLES,1215,3319.35,89,Increase Inventory
23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,1678,2691.14,145,Increase Inventory
23191,BUNDLE OF 3 RETRO EXERCISE BOOKS,60,98.99999999999999,5,Run Promotional Campaign
23191,BUNDLE OF 3 RETRO NOTE BOOKS,2099,3393.3499999999995,178,Increase Inventory
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,3269,5197.169999999999,224,Increase Inventory
23193,BUFFALO BILL TREASURE BOOK BOX,1847,3750.57,109,Increase Inventory
23194,GYMKHANA TREASURE BOOK BOX,1630,3417.83,128,Increase Inventory
23194,GYMKHANNA TREASURE BOOK BOX,120,261.84000000000003,14,Maintain Current Strategy
23196,LEAVES MAGNETIC  SHOPPING LIST,24,34.8,2,Run Promotional Campaign
23196,RETO LEAVES MAGNETIC SHOPPING LIST,36,52.199999999999996,3,Run Promotional Campaign
23196,RETRO LEAVES MAGNETIC NOTEPAD,103,149.35,17,Maintain Current Strategy
23196,VINTAGE LEAF MAGNETIC NOTEPAD,1593,2242.65,159,Increase Inventory
23197,SKETCHBOOK MAGNETIC SHOPPING LIST,1318,1900.9399999999998,113,Increase Inventory
23197,VEGETABLE MAGNETIC  SHOPPING LIST,36,49.8,3,Run Promotional Campaign
23198,PANTRY MAGNETIC  SHOPPING LIST,3063,4341.19,259,Increase Inventory
23199,JUMBO BAG APPLES,13875,26426.3,344,Increase Inventory
23200,JUMBO BAG PEARS,6729,13034.92,262,Increase Inventory
23201,JUMBO BAG ALPHABET,12533,24160.44,396,Increase Inventory
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,377,Increase Inventory
23203,JUMBO BAG DOILEY PATTERNS,8735,16737.1,299,Increase Inventory
23203,JUMBO BAG VINTAGE DOILEY ,143,268.44,6,Maintain Current Strategy
23203,JUMBO BAG VINTAGE DOILY ,10620,20641.4,363,Increase Inventory
23204,CHARLOTTE BAG APPLES DESIGN,7039,5632.15,199,Increase Inventory
23205,CHARLOTTE BAG ALPHABET  DESIGN,400,320.5,22,Maintain Current Strategy
23205,CHARLOTTE BAG VINTAGE ALPHABET ,4750,3784.52,192,Increase Inventory
23206,LUNCH BAG APPLE DESIGN,11530,18220.5,401,Increase Inventory
23207,LUNCH BAG ALPHABET DESIGN,7533,11994.41,377,Increase Inventory
23208,LUNCH BAG VINTAGE LEAF DESIGN,6191,9950.35,305,Increase Inventory
23209,LUNCH BAG DOILEY PATTERN ,6477,10323.05,290,Increase Inventory
23209,LUNCH BAG VINTAGE DOILEY ,70,115.5,4,Run Promotional Campaign
23209,LUNCH BAG VINTAGE DOILY ,6438,10347.66,319,Increase Inventory
23210,WHITE ROCKING HORSE HAND PAINTED,2750,3311.5,115,Increase Inventory
23211,RED ROCKING HORSE HAND PAINTED,2206,2631.5,82,Increase Inventory
23212,HEART WREATH DECORATION WITH BELL,2163,2562.63,103,Increase Inventory
23212,PAINTED HEART WREATH WITH BELL,12,15.0,1,Run Promotional Campaign
23213,STAR WREATH DECORATION WITH BELL,1594,1921.94,95,Increase Inventory
23214,BELL HEART ANTIQUE GOLD,12,24.96,1,Run Promotional Campaign
23214,JINGLE BELL HEART ANTIQUE GOLD,760,1599.8700000000001,78,Increase Inventory
23215,JINGLE BELL HEART ANTIQUE SILVER,3544,6955.8,162,Increase Inventory
23216,LAUREL HEART ANTIQUE GOLD,518,613.51,32,Increase Inventory
23217,LAUREL HEART ANTIQUE SILVER,1290,1567.0,64,Increase Inventory
23218,LAUREL STAR ANTIQUE GOLD,372,465.81,27,Maintain Current Strategy
23219,LAUREL STAR ANTIQUE SILVER ,404,504.6,41,Maintain Current Strategy
23220,REINDEER HEART DECORATION GOLD,929,774.43,55,Increase Inventory
23221,REINDEER HEART DECORATION SILVER,1461,1241.59,85,Increase Inventory
23222,CHRISTMAS TREE HANGING GOLD,776,690.64,49,Increase Inventory
23223,CHRISTMAS TREE HANGING SILVER ,745,670.1099999999999,51,Increase Inventory
23224,CHERUB HEART DECORATION GOLD,719,620.4499999999999,44,Increase Inventory
23225,CHERUB HEART DECORATION SILVER ,1296,1089.6,46,Increase Inventory
23226,FILIGREE HEART DAISY WHITE,1199,1478.59,56,Increase Inventory
23227,FILIGREE HEART BUTTERFLY WHITE ,1592,1947.06,61,Increase Inventory
23228,FILIGREE HEART BIRD WHITE ,1397,1726.3,58,Increase Inventory
23229,DONKEY TAIL GAME ,54,189.54000000000002,4,Run Promotional Campaign
23229,VINTAGE DONKEY TAIL GAME ,1750,6146.89,182,Increase Inventory
23230,WRAP ALPHABET DESIGN,7925,3196.5,178,Increase Inventory
23231,WRAP  VINTAGE DOILEY ,100,42.0,2,Maintain Current Strategy
23231,WRAP  VINTAGE DOILY ,2450,1029.0,80,Increase Inventory
23231,WRAP DOILEY DESIGN,4675,1915.5,124,Increase Inventory
23232,WRAP VINTAGE LEAF DESIGN,5251,2109.42,118,Increase Inventory
23232,WRAP VINTAGE PETALS  DESIGN,3275,1327.5,95,Increase Inventory
23233,WRAP POPPIES  DESIGN,5175,2105.5,130,Increase Inventory
23234,BISCUIT TIN VINTAGE CHRISTMAS,1632,4567.38,201,Increase Inventory
23235,BISCUIT TIN VINTAGE LEAF,24,64.56,3,Run Promotional Campaign
23235,STORAGE TIN VINTAGE LEAF,702,1831.1000000000001,86,Increase Inventory
23236,DOILEY BISCUIT TIN,120,327.6,13,Maintain Current Strategy
23236,DOILEY STORAGE TIN,1082,2934.98,93,Increase Inventory
23236,STORAGE TIN VINTAGE DOILEY ,6,17.34,1,Run Promotional Campaign
23236,STORAGE TIN VINTAGE DOILY ,1235,3502.15,124,Increase Inventory
23237,SET OF 4 KNICK KNACK TINS LEAF,739,2970.8500000000004,94,Increase Inventory
23237,SET OF 4 KNICK KNACK TINS LEAVES ,304,1237.2,51,Maintain Current Strategy
23238,SET OF 4 KNICK KNACK TINS LONDON ,1775,7116.650000000001,150,Increase Inventory
23239,SET OF 4 KNICK KNACK TINS POPPIES,812,3142.4,125,Increase Inventory
23240,SET OF 4 KNICK KNACK TINS  DOILEY ,6,24.900000000000002,1,Run Promotional Campaign
23240,SET OF 4 KNICK KNACK TINS DOILEY ,1802,7132.700000000001,142,Increase Inventory
23240,SET OF 4 KNICK KNACK TINS DOILY ,2286,9237.300000000001,230,Increase Inventory
23241,TREASURE TIN GYMKHANA DESIGN,2005,4060.0,183,Increase Inventory
23242,TREASURE TIN BUFFALO BILL ,1430,2886.0800000000004,132,Increase Inventory
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.08,275,Increase Inventory
23244,CANNISTER VINTAGE LEAF DESIGN,12,23.4,2,Run Promotional Campaign
23244,ROUND STORAGE TIN VINTAGE LEAF,853,1552.5099999999998,80,Increase Inventory
23244,STORAGE TIN VINTAGE LEAF,60,117.0,7,Run Promotional Campaign
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.280000000002,472,Increase Inventory
23247,BISCUIT TIN 50'S CHRISTMAS,2048,5760.52,231,Increase Inventory
23249,ENAMEL DINNER PLATE PANTRY,12,19.799999999999997,1,Run Promotional Campaign
23249,VINTAGE RED ENAMEL TRIM PLATE,778,1254.8999999999999,56,Increase Inventory
23250,ENAMEL BOWL PANTRY,24,30.0,2,Run Promotional Campaign
23250,VINTAGE RED TRIM ENAMEL BOWL ,1079,1328.59,63,Increase Inventory
23251,ENAMEL MUG PANTRY,12,15.0,1,Run Promotional Campaign
23251,VINTAGE RED ENAMEL TRIM MUG ,1633,1940.45,80,Increase Inventory
23252,ENAMEL JUG PANTRY,8,30.0,2,Run Promotional Campaign
23252,VINTAGE RED ENAMEL TRIM JUG ,578,2123.34,104,Increase Inventory
23253,16 PC CUTLERY SET PANTRY DESIGN,4,63.8,1,Run Promotional Campaign
23253,16 PIECE CUTLERY SET PANTRY DESIGN,210,3018.2999999999997,43,Maintain Current Strategy
23254,CHILDRENS CUTLERY DOLLY GIRL ,1621,6525.55,197,Increase Inventory
23254,KIDS CUTLERY DOLLY GIRL ,36,149.4,8,Run Promotional Campaign
23255,CHILDRENS CUTLERY CIRCUS PARADE,962,3852.44,116,Increase Inventory
23256,CHILDRENS CUTLERY SPACEBOY ,1980,7966.080000000001,225,Increase Inventory
23256,KIDS CUTLERY SPACEBOY ,36,149.4,8,Run Promotional Campaign
23263,SET OF 3 WOODEN HEART DECORATIONS,3717,4791.58,269,Increase Inventory
23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1842,2396.7,177,Increase Inventory
23265,SET OF 3 WOODEN TREE DECORATIONS,1665,2153.71,180,Increase Inventory
23266,SET OF 3 WOODEN STOCKING DECORATION,1964,2529.64,201,Increase Inventory
23267,SET OF 4 SANTA PLACE SETTINGS,1158,1427.34,79,Increase Inventory
23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,1434,1980.1799999999998,68,Increase Inventory
23269,SET OF 2 CERAMIC CHRISTMAS TREES,748,1065.3999999999999,63,Increase Inventory
23270,SET OF 2 CERAMIC PAINTED HEARTS ,1157,1612.85,96,Increase Inventory
23271,CHRISTMAS TABLE CANDLE SILVER SPIKE,16,13.28,1,Run Promotional Campaign
23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,1603,1301.05,68,Increase Inventory
23272,TREE T-LIGHT HOLDER WILLIE WINKIE,352,522.7399999999999,34,Maintain Current Strategy
23273,HEART T-LIGHT HOLDER WILLIE WINKIE,928,1533.84,88,Increase Inventory
23274,STAR T-LIGHT HOLDER WILLIE WINKIE,1139,1870.1099999999997,85,Increase Inventory
23275,SET OF 3 HANGING OWLS OLLIE BEAK,3613,4291.17,171,Increase Inventory
23280,FOLDING BUTTERFLY MIRROR HOT PINK ,1838,1427.16,84,Increase Inventory
23280,FOLDING MIRROR HOT PINK ,156,118.91999999999999,5,Maintain Current Strategy
23281,FOLDING BUTTERFLY MIRROR RED  ,1252,961.28,56,Increase Inventory
23281,FOLDING MIRROR RED  ,18,14.939999999999998,2,Run Promotional Campaign
23282,FOLDING BUTTERFLY MIRROR IVORY ,735,597.78,67,Increase Inventory
23282,FOLDING MIRROR IVORY ,18,14.939999999999998,2,Run Promotional Campaign
23283,DOORMAT VINTAGE LEAF,541,3766.57,100,Increase Inventory
23283,DOORMAT VINTAGE LEAVES DESIGN ,426,2833.7000000000003,75,Maintain Current Strategy
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,378,Increase Inventory
23285,PINK VINTAGE SPOT BEAKER,4679,4384.83,108,Increase Inventory
23286,BLUE VINTAGE SPOT BEAKER,4901,4528.29,125,Increase Inventory
23287,RED VINTAGE SPOT BEAKER,1774,1445.5,114,Increase Inventory
23288,GREEN VINTAGE SPOT BEAKER,4505,4261.889999999999,107,Increase Inventory
23289,DOLLY GIRL CHILDRENS BOWL,1553,1854.8500000000001,111,Increase Inventory
23290,SPACEBOY CHILDRENS BOWL,2367,2757.15,125,Increase Inventory
23291,DOLLY GIRL CHILDRENS CUP,1548,1880.14,104,Increase Inventory
23292,SPACE BOY CHILDRENS CUP,130,143.3,5,Maintain Current Strategy
23292,SPACEBOY CHILDRENS CUP,1951,2343.07,112,Increase Inventory
23293,SET OF 12 FAIRY CAKE BAKING CASES,8228,6457.0,323,Increase Inventory
23294,SET OF 6 SNACK LOAF BAKING CASES,4264,3336.94,214,Increase Inventory
23295,SET OF 12 MINI LOAF BAKING CASES,5957,4670.63,250,Increase Inventory
23296,SET OF 6 TEA TIME BAKING CASES,4877,5684.650000000001,243,Increase Inventory
23297,SET 40 HEART SHAPE PETIT FOUR CASES,4260,6677.0,123,Increase Inventory
23298,"BUNTING , SPOTTY ",146,634.7,7,Maintain Current Strategy
23298,SPOTTY BUNTING,7633,35509.55,571,Increase Inventory
23299,"FOOD COVER WITH BEADS , SET 2 SIZES",3,11.25,1,Run Promotional Campaign
23299,FOOD COVER WITH BEADS SET 2 ,977,3545.17,109,Increase Inventory
23300,GARDENERS KNEELING PAD CUP OF TEA ,6285,9933.689999999999,351,Increase Inventory
23301,GARDENERS KNEELING PAD KEEP CALM ,7722,12463.779999999999,405,Increase Inventory
23302,KNEELING MAT HOUSEWORK  DESIGN,1473,1980.7099999999998,140,Increase Inventory
23303,SET 4 PICNIC CUTLERY FONDANT,65,126.75,6,Run Promotional Campaign
23304,SET 4 PICNIC CUTLERY CHERRY ,71,138.45,9,Run Promotional Campaign
23305,SET 4 PICNIC CUTLERY BLUEBERRY,82,159.9,9,Run Promotional Campaign
23306,SET OF 36 DOILIES PANTRY DESIGN,2653,3761.9199999999996,172,Increase Inventory
23306,SET OF 36 PANTRY PAPER DOILIES,39,58.019999999999996,14,Run Promotional Campaign
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,11661,5974.39,366,Increase Inventory
23308,SET OF 60 VINTAGE LEAF CAKE CASES ,5955,3091.61,209,Increase Inventory
23309,SET OF 60 I LOVE LONDON CAKE CASES ,7670,3697.7000000000003,178,Increase Inventory
23310,BUBBLEGUM RING ASSORTED,11891,4894.83,146,Increase Inventory
23311,VINTAGE CHRISTMAS STOCKING ,2199,5564.25,246,Increase Inventory
23312,VINTAGE CHRISTMAS GIFT SACK,1364,5523.0,168,Increase Inventory
23313,VINTAGE CHRISTMAS BUNTING,2748,12960.12,254,Increase Inventory
23314,VINTAGE CHRISTMAS TABLECLOTH,391,4638.52,87,Maintain Current Strategy
23315,IVORY REFECTORY CLOCK,202,1894.7,63,Maintain Current Strategy
23316,RED REFECTORY CLOCK ,235,2212.25,75,Maintain Current Strategy
23317,BLUE REFECTORY CLOCK ,161,1547.95,56,Maintain Current Strategy
23318,BOX OF 6 MINI VINTAGE CRACKERS,3645,8345.43,270,Increase Inventory
23319,BOX OF 6 MINI 50'S CRACKERS,3520,8169.4800000000005,300,Increase Inventory
23320,GIANT 50'S CHRISTMAS CRACKER,2628,6907.52,260,Increase Inventory
23321,SMALL WHITE HEART OF WICKER,4262,6798.099999999999,378,Increase Inventory
23322,LARGE WHITE HEART OF WICKER,2892,8137.500000000001,350,Increase Inventory
23323,WHITE WICKER STAR ,1422,2954.7000000000003,210,Increase Inventory
23324,RUSTIC STRAWBERRY JAM POT LARGE ,261,531.84,32,Maintain Current Strategy
23324,RUSTIC STRAWBERRY JAMPOT LARGE ,120,238.56,6,Maintain Current Strategy
23325,RUSTIC STRAWBERRY JAM POT SMALL,408,641.9999999999999,24,Maintain Current Strategy
23325,RUSTIC STRAWBERRY JAMPOT SMALL,36,59.39999999999999,3,Run Promotional Campaign
23326,HANGING MINI COLOURED BOTTLES,3369,1999.5900000000001,52,Increase Inventory
23327,HANGING CLEAR MINI BOTTLE,1710,1012.0200000000001,33,Increase Inventory
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2063,7495.29,195,Increase Inventory
23329,DECORATIVE WICKER HEART LARGE,1701,2794.6499999999996,168,Increase Inventory
23330,DECORATIVE WICKER HEART MEDIUM,1751,2181.19,158,Increase Inventory
23331,DECORATIVE WICKER HEART SMALL,1492,932.2800000000001,67,Increase Inventory
23332,IVORY WICKER HEART LARGE,1979,3255.7499999999995,207,Increase Inventory
23333,IVORY WICKER HEART MEDIUM,2009,2498.65,179,Increase Inventory
23334,IVORY WICKER HEART SMALL,2154,1345.5,83,Increase Inventory
23335,EGG FRYING PAN IVORY ,358,722.5600000000001,62,Maintain Current Strategy
23336,EGG FRYING PAN PINK ,199,415.97,46,Maintain Current Strategy
23337,EGG FRYING PAN MINT ,169,351.52000000000004,49,Maintain Current Strategy
23338,EGG FRYING PAN RED ,405,820.32,62,Maintain Current Strategy
23339,EGG FRYING PAN BLUE ,150,312.0,43,Maintain Current Strategy
23340,VINTAGE CHRISTMAS CAKE FRILL,2453,3879.45,112,Increase Inventory
23341,PINK DINER WALL CLOCK,281,2317.1,75,Maintain Current Strategy
23342,MINT DINER CLOCK,2,17.0,1,Run Promotional Campaign
23342,MINT DINER WALL CLOCK,363,3034.5,104,Launch Loyalty Program
23343,JUMBO BAG VINTAGE CHRISTMAS ,4905,9742.1,286,Increase Inventory
23344,JUMBO BAG 50'S CHRISTMAS ,8933,17636.04,391,Increase Inventory
23345, DOLLY GIRL BEAKER,2394,2754.5,100,Increase Inventory
23346,SPACEBOY BEAKER,2567,2970.75,106,Increase Inventory
23347,I LOVE LONDON BEAKER,827,999.75,51,Increase Inventory
23348,CHILDRENS TOY COOKING UTENSIL SET,676,1363.16,95,Increase Inventory
23349,ROLL WRAP VINTAGE CHRISTMAS,2847,3450.39,214,Increase Inventory
23350,ROLL WRAP VINTAGE SPOT ,2584,3154.4,205,Increase Inventory
23351,ROLL WRAP 50'S CHRISTMAS,3054,3694.02,242,Increase Inventory
23352,ROLL WRAP 50'S RED CHRISTMAS ,1593,1961.01,151,Increase Inventory
23353,6 GIFT TAGS VINTAGE CHRISTMAS ,3726,3068.8199999999997,227,Increase Inventory
23354,6 GIFT TAGS 50'S CHRISTMAS ,3343,2750.93,235,Increase Inventory
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.550000000003,474,Increase Inventory
23356,LOVE HOT WATER BOTTLE,2325,12954.75,316,Increase Inventory
23357,HOT WATER BOTTLE SEX BOMB,432,1832.0,79,Maintain Current Strategy
23358,HOT STUFF HOT WATER BOTTLE,527,1686.15,61,Increase Inventory
23359,SET OF 12 T-LIGHTS VINTAGE DOILEY,61,118.94999999999999,6,Run Promotional Campaign
23359,SET OF 12 T-LIGHTS VINTAGE DOILY,915,1715.85,67,Increase Inventory
23360,SET 8 CANDLES VINTAGE DOILEY,122,216.29999999999998,7,Maintain Current Strategy
23360,SET 8 CANDLES VINTAGE DOILY,1024,1932.0,88,Increase Inventory
23365,SET 12 COLOUR PENCILS LOVE LONDON,1529,991.45,107,Increase Inventory
23366,SET 12 COLOUR PENCILS DOILEY,48,31.200000000000003,3,Run Promotional Campaign
23366,SET 12 COLOURING PENCILS DOILEY,1,0.65,1,Run Promotional Campaign
23366,SET 12 COLOURING PENCILS DOILY,1870,1177.1000000000001,112,Increase Inventory
23367,SET 12 COLOUR PENCILS SPACEBOY ,2778,1803.3000000000002,184,Increase Inventory
23368,SET 12 COLOUR PENCILS DOLLY GIRL ,2152,1396.4,134,Increase Inventory
23369,SET 36 COLOUR PENCILS LOVE LONDON,901,1053.29,80,Increase Inventory
23370,SET 36 COLOUR PENCILS DOILEY,64,80.0,3,Run Promotional Campaign
23370,SET 36 COLOURING PENCILS DOILEY,1,1.25,1,Run Promotional Campaign
23370,SET 36 COLOURING PENCILS DOILY,1289,1562.6100000000001,84,Increase Inventory
23371,SET 36 COLOUR PENCILS SPACEBOY ,1498,1775.22,98,Increase Inventory
23372,SET 36 COLOUR PENCILS DOLLY GIRL,1294,1520.22,76,Increase Inventory
23373,VINTAGE CHRISTMAS PAPER GIFT BAG,1563,1241.6599999999999,86,Increase Inventory
23374,RED SPOT PAPER GIFT BAG,2444,1944.08,108,Increase Inventory
23375,50'S CHRISTMAS PAPER GIFT BAG,1317,1059.9399999999998,85,Increase Inventory
23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,2630,995.4599999999999,104,Increase Inventory
23377,PACK OF 12 DOLLY GIRL TISSUES,1200,468.0,69,Increase Inventory
23378,PACK OF 12 50'S CHRISTMAS TISSUES,3413,1270.59,127,Increase Inventory
23379,PACK OF 12 RED APPLE TISSUES,1175,428.01,49,Increase Inventory
23380,PACK OF 12 DOILEY TISSUES,72,28.08,2,Run Promotional Campaign
23380,PACK OF 12 VINTAGE DOILY TISSUES,2087,783.6899999999999,85,Increase Inventory
23381,PACK OF 12 VINTAGE LEAF TISSUES ,1474,544.62,59,Increase Inventory
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,1712,6155.04,136,Increase Inventory
23388,WOODLAND MINI BACKPACK,784,3133.6000000000004,114,Increase Inventory
23388,WOODLAND MINI RUCKSACK ,5,20.75,2,Run Promotional Campaign
23389,SPACEBOY MINI BACKPACK,1030,4134.5,157,Increase Inventory
23389,SPACEBOY MINI RUCKSACK,13,53.95,4,Run Promotional Campaign
23390,DOLLY GIRL MINI BACKPACK,713,2838.9500000000003,116,Increase Inventory
